cheval_1;cheval_2;proba_couple;date;hippodrome;course_id;discipline;num_course;distance
3;9;0.99858;21/06/25;Compiegne;21/06/25_Compiegne_C4;galop;C4;2800
3;2;0.99858;21/06/25;Compiegne;21/06/25_Compiegne_C4;galop;C4;2800
3;1;0.99858;21/06/25;Compiegne;21/06/25_Compiegne_C4;galop;C4;2800
9;2;0.99858;21/06/25;Compiegne;21/06/25_Compiegne_C4;galop;C4;2800
9;1;0.99858;21/06/25;Compiegne;21/06/25_Compiegne_C4;galop;C4;2800
2;1;0.99858;21/06/25;Compiegne;21/06/25_Compiegne_C4;galop;C4;2800
10;8;0.99858;22/06/25;Vincennes;22/06/25_Vincennes_C4;trot;C4;2850
10;5;0.99858;22/06/25;Vincennes;22/06/25_Vincennes_C4;trot;C4;2850
10;9;0.99858;22/06/25;Vincennes;22/06/25_Vincennes_C4;trot;C4;2850
8;5;0.99858;22/06/25;Vincennes;22/06/25_Vincennes_C4;trot;C4;2850
8;9;0.99858;22/06/25;Vincennes;22/06/25_Vincennes_C4;trot;C4;2850
5;9;0.99858;22/06/25;Vincennes;22/06/25_Vincennes_C4;trot;C4;2850
4;7;0.99858;23/06/25;Lyon;23/06/25_Lyon_C7;galop;C7;2000
4;1;0.99858;23/06/25;Lyon;23/06/25_Lyon_C7;galop;C7;2000
4;10;0.99858;23/06/25;Lyon;23/06/25_Lyon_C7;galop;C7;2000
7;1;0.99858;23/06/25;Lyon;23/06/25_Lyon_C7;galop;C7;2000
7;10;0.99858;23/06/25;Lyon;23/06/25_Lyon_C7;galop;C7;2000
1;10;0.99858;23/06/25;Lyon;23/06/25_Lyon_C7;galop;C7;2000
6;11;0.99858;19/06/25;Longchamps;19/06/25_Longchamps_C7;galop;C7;2200
6;12;0.99858;19/06/25;Longchamps;19/06/25_Longchamps_C7;galop;C7;2200
6;5;0.99858;19/06/25;Longchamps;19/06/25_Longchamps_C7;galop;C7;2200
11;12;0.99858;19/06/25;Longchamps;19/06/25_Longchamps_C7;galop;C7;2200
11;5;0.99858;19/06/25;Longchamps;19/06/25_Longchamps_C7;galop;C7;2200
12;5;0.99858;19/06/25;Longchamps;19/06/25_Longchamps_C7;galop;C7;2200
13;3;0.99858;20/06/25;Vincennes;20/06/25_Vincennes_C4;trot;C4;2700
13;8;0.99858;20/06/25;Vincennes;20/06/25_Vincennes_C4;trot;C4;2700
13;9;0.99858;20/06/25;Vincennes;20/06/25_Vincennes_C4;trot;C4;2700
3;8;0.99858;20/06/25;Vincennes;20/06/25_Vincennes_C4;trot;C4;2700
3;9;0.99858;20/06/25;Vincennes;20/06/25_Vincennes_C4;trot;C4;2700
8;9;0.99858;20/06/25;Vincennes;20/06/25_Vincennes_C4;trot;C4;2700
2;1;0.99858;24/06/25;Chantilly;24/06/25_Chantilly_C7;galop;C7;1200
2;16;0.99858;24/06/25;Chantilly;24/06/25_Chantilly_C7;galop;C7;1200
2;4;0.99858;24/06/25;Chantilly;24/06/25_Chantilly_C7;galop;C7;1200
1;16;0.99858;24/06/25;Chantilly;24/06/25_Chantilly_C7;galop;C7;1200
1;4;0.99858;24/06/25;Chantilly;24/06/25_Chantilly_C7;galop;C7;1200
16;4;0.99858;24/06/25;Chantilly;24/06/25_Chantilly_C7;galop;C7;1200
8;3;0.05111;30/06/25;Clairefontaine;30/06/25_Clairefontaine_C5;galop;C5;3600
8;13;0.03484;30/06/25;Clairefontaine;30/06/25_Clairefontaine_C5;galop;C5;3600
8;10;0.03404;30/06/25;Clairefontaine;30/06/25_Clairefontaine_C5;galop;C5;3600
3;13;0.02085;30/06/25;Clairefontaine;30/06/25_Clairefontaine_C5;galop;C5;3600
3;10;0.02004;30/06/25;Clairefontaine;30/06/25_Clairefontaine_C5;galop;C5;3600
13;10;0.00378;30/06/25;Clairefontaine;30/06/25_Clairefontaine_C5;galop;C5;3600
7;8;0.05111;29/06/25;SaintCloud;29/06/25_SaintCloud_C4;galop;C4;2400
7;13;0.03484;29/06/25;SaintCloud;29/06/25_SaintCloud_C4;galop;C4;2400
7;16;0.03404;29/06/25;SaintCloud;29/06/25_SaintCloud_C4;galop;C4;2400
8;13;0.02085;29/06/25;SaintCloud;29/06/25_SaintCloud_C4;galop;C4;2400
8;16;0.02004;29/06/25;SaintCloud;29/06/25_SaintCloud_C4;galop;C4;2400
13;16;0.00378;29/06/25;SaintCloud;29/06/25_SaintCloud_C4;galop;C4;2400
6;7;0.05111;28/06/25;Enghien;28/06/25_Enghien_C4;trot;C4;2150
6;10;0.03484;28/06/25;Enghien;28/06/25_Enghien_C4;trot;C4;2150
6;8;0.03378;28/06/25;Enghien;28/06/25_Enghien_C4;trot;C4;2150
7;10;0.02085;28/06/25;Enghien;28/06/25_Enghien_C4;trot;C4;2150
7;8;0.01978;28/06/25;Enghien;28/06/25_Enghien_C4;trot;C4;2150
10;8;0.00351;28/06/25;Enghien;28/06/25_Enghien_C4;trot;C4;2150
2;7;0.05111;27/06/25;Vincennes;27/06/25_Vincennes_C4;trot;C4;2100
2;12;0.03484;27/06/25;Vincennes;27/06/25_Vincennes_C4;trot;C4;2100
2;6;0.03378;27/06/25;Vincennes;27/06/25_Vincennes_C4;trot;C4;2100
7;12;0.02085;27/06/25;Vincennes;27/06/25_Vincennes_C4;trot;C4;2100
7;6;0.01978;27/06/25;Vincennes;27/06/25_Vincennes_C4;trot;C4;2100
12;6;0.00351;27/06/25;Vincennes;27/06/25_Vincennes_C4;trot;C4;2100
3;12;0.02149;18/06/25;Toulouse;18/06/25_Toulouse_C3;trot;C3;2950
3;15;0.02085;18/06/25;Toulouse;18/06/25_Toulouse_C3;trot;C3;2950
3;11;0.02004;18/06/25;Toulouse;18/06/25_Toulouse_C3;trot;C3;2950
12;15;0.00522;18/06/25;Toulouse;18/06/25_Toulouse_C3;trot;C3;2950
12;11;0.00441;18/06/25;Toulouse;18/06/25_Toulouse_C3;trot;C3;2950
15;11;0.00378;18/06/25;Toulouse;18/06/25_Toulouse_C3;trot;C3;2950
